filename,width,height,class,xmin,ymin,xmax,ymax
VID_20180108_213351_0009 18347.jpg,1920,1080,ball,319,686,359,733
VID_20180108_213351_0009 18348.jpg,1920,1080,ball,321,705,374,753
VID_20180108_213351_0009 18349.jpg,1920,1080,ball,335,718,382,773
VID_20180108_213351_0009 18350.jpg,1920,1080,ball,345,731,389,787
VID_20180108_213351_0009 18352.jpg,1920,1080,ball,360,760,419,819
VID_20180108_213351_0009 18354.jpg,1920,1080,ball,382,766,431,826
VID_20180108_213351_0009 18356.jpg,1920,1080,ball,409,751,460,801
VID_20180108_213351_0009 18357.jpg,1920,1080,ball,416,737,474,792
VID_20180108_213351_0009 18358.jpg,1920,1080,ball,432,727,482,778
VID_20180108_213351_0009 18359.jpg,1920,1080,ball,444,720,493,767
VID_20180108_213351_0009 18360.jpg,1920,1080,ball,450,713,497,762
VID_20180108_213351_0009 18361.jpg,1920,1080,ball,459,706,505,755
VID_20180108_213351_0009 18362.jpg,1920,1080,ball,472,701,513,749
VID_20180108_213351_0009 18363.jpg,1920,1080,ball,472,691,520,743
VID_20180108_213351_0009 18585.jpg,1920,1080,ball,446,420,491,469
VID_20180108_213351_0009 18586.jpg,1920,1080,ball,445,424,489,465
VID_20180108_213351_0009 18587.jpg,1920,1080,ball,447,423,489,465
VID_20180108_213351_0009 18588.jpg,1920,1080,ball,437,419,495,468
VID_20180108_213351_0009 18589.jpg,1920,1080,ball,443,416,494,463
VID_20180108_213351_0009 18590.jpg,1920,1080,ball,443,421,495,467
VID_20180108_213351_0009 18591.jpg,1920,1080,ball,442,421,498,470
VID_20180108_213351_0009 18593.jpg,1920,1080,ball,445,425,495,467
VID_20180108_213351_0009 18594.jpg,1920,1080,ball,445,426,498,472
VID_20180108_213351_0009 18596.jpg,1920,1080,ball,444,429,498,472
VID_20180108_213351_0009 18597.jpg,1920,1080,ball,447,437,498,479
VID_20180108_213351_0009 18598.jpg,1920,1080,ball,449,442,495,485
VID_20180108_213351_0009 18600.jpg,1920,1080,ball,445,441,491,489
VID_20180108_213351_0009 18601.jpg,1920,1080,ball,450,445,495,493
VID_20180108_213351_0009 18602.jpg,1920,1080,ball,446,453,490,494
VID_20180108_213351_0009 18158.jpg,1920,1080,ball,646,498,688,532
VID_20180108_213351_0009 18160.jpg,1920,1080,ball,647,505,688,543
VID_20180108_213351_0009 18161.jpg,1920,1080,ball,643,503,687,549
VID_20180108_213351_0009 18162.jpg,1920,1080,ball,645,508,682,548
VID_20180108_213351_0009 18163.jpg,1920,1080,ball,643,512,685,549
VID_20180108_213351_0009 18164.jpg,1920,1080,ball,646,512,684,549
VID_20180108_213351_0009 18165.jpg,1920,1080,ball,646,516,687,551
VID_20180108_213351_0009 18166.jpg,1920,1080,ball,645,517,688,555
VID_20180108_213351_0009 18167.jpg,1920,1080,ball,645,521,689,556
VID_20180108_213351_0009 18168.jpg,1920,1080,ball,641,520,686,560
VID_20180108_213351_0009 18169.jpg,1920,1080,ball,640,518,682,559
VID_20180108_213351_0009 18171.jpg,1920,1080,ball,640,525,682,560
